,word_appear_set,class_word_appear_set,word_doc_set,doc_class_set,bdc
quick,"[6, 11, 1, 12, 2, 9, 1, 4]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[6, 10, 1, 11, 2, 4, 1, 4]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.187003359319
chanc,"[4, 8, 4, 16, 9, 3, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 7, 4, 16, 7, 3, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.184691579976
water,"[6, 11, 8, 3, 0, 0, 0, 18]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 6, 8, 3, 0, 0, 0, 10]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.627620506654
portfolio,"[20, 9, 0, 5, 9, 3, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[15, 8, 0, 3, 5, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.300185733065
formal,"[5, 25, 0, 9, 5, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[5, 24, 0, 9, 5, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.281643302292
csr,"[0, 46, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 5, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
thing,"[5, 23, 1, 10, 4, 2, 1, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[5, 20, 1, 8, 3, 2, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.146315226591
paul,"[2, 21, 2, 8, 6, 4, 1, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 18, 2, 8, 6, 4, 1, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0810222537439
sumita,"[0, 0, 0, 4, 36, 6, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 2, 8, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.670029880504
movement,"[8, 2, 3, 2, 12, 6, 1, 11]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[6, 2, 3, 2, 9, 6, 1, 8]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.268830276606
test,"[13, 9, 9, 6, 5, 0, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[7, 6, 7, 4, 4, 0, 0, 3]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.187796513636
atlant,"[16, 20, 5, 4, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[14, 13, 4, 3, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.339801101137
lynch,"[3, 32, 0, 3, 5, 1, 1, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 18, 0, 3, 3, 1, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.240349216952
bonus,"[38, 1, 1, 1, 0, 3, 1, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[22, 1, 1, 1, 0, 1, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.349168681678
focus,"[11, 19, 0, 7, 5, 1, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[10, 19, 0, 6, 5, 1, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.172916060298
nomin,"[22, 11, 2, 4, 4, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[16, 9, 2, 4, 2, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.168293354582
ohio,"[10, 32, 0, 0, 0, 1, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[7, 23, 0, 0, 0, 1, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.399562344038
interven,"[0, 3, 1, 6, 32, 3, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 1, 2, 20, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.622073009604
whole,"[8, 9, 10, 4, 6, 2, 5, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[7, 7, 9, 4, 6, 2, 4, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.168617464319
lehman,"[2, 34, 4, 0, 4, 0, 1, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 21, 3, 0, 4, 0, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.320306683521
arbitrag,"[2, 41, 0, 0, 2, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 20, 0, 0, 2, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.684933792286
incent,"[3, 5, 23, 9, 2, 2, 1, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 5, 16, 8, 2, 1, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.296696581124
except,"[19, 9, 3, 8, 3, 1, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[18, 9, 3, 6, 2, 1, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.101462691334
appropri,"[3, 15, 6, 7, 9, 3, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 15, 6, 7, 8, 3, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.14531340349
fear,"[4, 7, 5, 9, 8, 2, 1, 9]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 6, 4, 7, 4, 2, 1, 5]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.19355498927
failur,"[4, 8, 3, 22, 5, 0, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 6, 1, 16, 5, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.321507570938
fundament,"[1, 3, 7, 7, 23, 3, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 7, 7, 17, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.443438440246
illinoi,"[11, 16, 1, 5, 0, 3, 0, 8]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[6, 12, 1, 4, 0, 2, 0, 4]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.358803148163
left,"[5, 13, 4, 4, 8, 7, 1, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[5, 13, 3, 4, 7, 7, 1, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.1183273951
retir,"[26, 14, 1, 2, 0, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[22, 12, 1, 2, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.312409757466
matter,"[3, 19, 4, 11, 6, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 15, 4, 11, 6, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.231708469959
belgian,"[3, 11, 0, 5, 9, 1, 3, 12]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 7, 0, 4, 5, 1, 1, 6]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.31865751418
defer,"[31, 9, 1, 3, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[27, 5, 1, 2, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.45960425555
global,"[9, 10, 2, 18, 3, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 8, 2, 14, 2, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.288372242949
island,"[7, 21, 2, 6, 6, 0, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[5, 18, 2, 4, 5, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.20050999734
imperi,"[18, 11, 9, 0, 0, 6, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[10, 11, 4, 0, 0, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.410186932779
citicorp,"[6, 32, 0, 0, 0, 5, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 15, 0, 0, 0, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.57280335865
pass,"[4, 5, 0, 23, 2, 4, 0, 5]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 5, 0, 15, 2, 3, 0, 4]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.333883038339
imbal,"[1, 1, 0, 32, 9, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 22, 9, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.664987695604
ground,"[5, 19, 4, 4, 4, 2, 0, 5]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 17, 4, 4, 4, 2, 0, 4]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.173422845809
farm,"[7, 9, 0, 21, 0, 0, 0, 6]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 7, 0, 11, 0, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.508564568835
democrat,"[0, 1, 2, 39, 1, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 2, 24, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.801126892067
aviat,"[9, 32, 0, 1, 0, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[7, 30, 0, 1, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.468643097681
portion,"[12, 25, 3, 2, 0, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[10, 22, 1, 2, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.272807948245
softwar,"[19, 23, 0, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[11, 15, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.567529980257
identifi,"[6, 25, 1, 7, 2, 0, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[6, 24, 1, 7, 2, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.225310897072
difficulti,"[8, 7, 10, 13, 3, 1, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[8, 6, 9, 13, 3, 1, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.183202187888
appeal,"[4, 28, 1, 7, 2, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 15, 1, 6, 2, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.247968426612
mill,"[11, 27, 1, 1, 3, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[8, 18, 1, 1, 2, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.35075112024
mile,"[16, 5, 19, 0, 0, 0, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[7, 5, 18, 0, 0, 0, 0, 3]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.491247457733
fluctuat,"[11, 0, 9, 3, 18, 1, 1, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[11, 0, 7, 2, 16, 1, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.352475892099
dynam,"[17, 22, 0, 4, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[11, 7, 0, 4, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.482242962934
dump,"[0, 1, 1, 40, 0, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 1, 27, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.79116770652
deliveri,"[10, 19, 6, 4, 1, 1, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[7, 11, 6, 4, 1, 1, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.115090959466
enabl,"[15, 19, 2, 4, 1, 0, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[13, 19, 2, 4, 1, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.187148198732
specialti,"[18, 25, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[9, 22, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.673905418179
clayton,"[0, 14, 0, 26, 3, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 7, 0, 26, 3, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.635082225301
match,"[4, 22, 3, 1, 1, 9, 2, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 7, 3, 1, 1, 8, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.314325122954
merril,"[4, 28, 0, 3, 5, 1, 1, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 16, 0, 3, 3, 1, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.223809034413
abil,"[15, 13, 9, 3, 1, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[14, 12, 6, 3, 1, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.217984756409
circul,"[1, 13, 0, 0, 16, 0, 12, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 9, 0, 0, 15, 0, 11, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.630929223439
pesch,"[0, 42, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 5, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
gaf,"[2, 40, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 4, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.909308923665
card,"[7, 11, 0, 0, 0, 23, 1, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[5, 5, 0, 0, 0, 7, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.723818089077
governor,"[1, 3, 1, 3, 28, 4, 1, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 3, 1, 3, 22, 4, 1, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.431641831595
equival,"[11, 17, 10, 0, 3, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[11, 17, 8, 0, 2, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.285416663019
guarante,"[5, 13, 18, 2, 1, 1, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[5, 11, 11, 2, 1, 1, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.297218677956
expenditur,"[22, 0, 19, 0, 0, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[17, 0, 8, 0, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.623430859637
diplomat,"[3, 3, 9, 20, 6, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 4, 10, 3, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.334071816206
offshor,"[5, 5, 31, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[5, 5, 17, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.792437921494
spokeswoman,"[4, 23, 8, 4, 1, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 15, 6, 4, 1, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.231258054832
remov,"[8, 17, 5, 9, 3, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[6, 17, 5, 8, 3, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.262779323188
known,"[6, 21, 6, 3, 2, 0, 0, 4]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[6, 21, 6, 3, 2, 0, 0, 3]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.243218253331
broker,"[8, 22, 0, 2, 3, 6, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[8, 13, 0, 2, 1, 4, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.270000660701
petrobra,"[0, 0, 39, 0, 0, 0, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 11, 0, 0, 0, 0, 3]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.766481045726
charter,"[8, 12, 1, 0, 0, 4, 14, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[8, 7, 1, 0, 0, 4, 5, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.543992738156
tuesday,"[2, 9, 5, 1, 8, 6, 7, 4]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 8, 5, 1, 6, 6, 3, 3]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.230998175186
grade,"[1, 0, 41, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 22, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.981960368882
individu,"[10, 15, 6, 5, 0, 1, 3, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[8, 10, 5, 5, 0, 1, 3, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.153534753011
recov,"[16, 8, 12, 0, 2, 0, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[14, 6, 12, 0, 2, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.323123354128
receipt,"[10, 27, 3, 0, 1, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[8, 23, 1, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.413084200693
attract,"[3, 25, 6, 0, 2, 5, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 22, 6, 0, 2, 5, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.340823269131
conclud,"[2, 23, 4, 5, 3, 2, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 20, 3, 5, 3, 2, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.118189807181
thursday,"[2, 8, 3, 10, 7, 3, 6, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 7, 3, 9, 5, 3, 3, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.199257375872
entitl,"[12, 24, 4, 0, 1, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[8, 18, 3, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.388459140939
entertain,"[13, 28, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[9, 18, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.701317037551
repair,"[0, 3, 28, 1, 0, 0, 0, 9]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 13, 1, 0, 0, 0, 4]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.604154953936
along,"[7, 16, 8, 2, 2, 1, 1, 4]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[7, 16, 7, 2, 2, 1, 1, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.110968491856
missil,"[0, 1, 1, 4, 0, 0, 0, 35]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 1, 2, 0, 0, 0, 8]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.901452638563
favor,"[11, 20, 3, 4, 2, 0, 1, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[11, 18, 2, 4, 2, 0, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.153379322395
yr,"[41, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[31, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
mobil,"[12, 7, 22, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[9, 3, 9, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.7148353674
harri,"[5, 26, 3, 1, 3, 3, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 13, 3, 1, 3, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.240068473323
los,"[4, 36, 0, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 27, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.727895359064
pound,"[11, 1, 1, 2, 13, 13, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[6, 1, 1, 1, 6, 6, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.492544444444
hard,"[10, 7, 4, 11, 2, 2, 3, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[7, 7, 4, 10, 2, 1, 1, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.100647594632
partial,"[21, 13, 4, 0, 1, 0, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[15, 10, 4, 0, 1, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.268907530096
ferri,"[4, 2, 0, 0, 0, 0, 0, 35]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 11]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.959722429599
respond,"[5, 18, 4, 6, 4, 3, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[5, 17, 4, 6, 4, 3, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.106095044535
though,"[12, 7, 7, 4, 7, 4, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[10, 7, 7, 3, 5, 4, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.214969706799
introduc,"[10, 7, 5, 5, 9, 4, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[10, 7, 4, 5, 6, 3, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.165790349909
qualifi,"[29, 4, 5, 2, 0, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[15, 4, 4, 2, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.333568005536
doubt,"[11, 12, 0, 10, 3, 1, 0, 4]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[9, 10, 0, 8, 2, 1, 0, 3]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.231672145612
unlik,"[8, 11, 4, 3, 9, 3, 2, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[8, 10, 4, 3, 9, 3, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.16243124665
compris,"[11, 12, 1, 1, 11, 1, 1, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[9, 12, 1, 1, 11, 1, 1, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.188103692358
santo,"[2, 14, 18, 0, 0, 0, 0, 6]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 6, 10, 0, 0, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.523431680086
flat,"[25, 1, 2, 2, 9, 0, 1, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[14, 1, 2, 2, 8, 0, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.329239702998
fact,"[10, 10, 3, 8, 7, 1, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[10, 10, 3, 7, 6, 1, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.147221674716
hear,"[4, 20, 3, 10, 0, 0, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 13, 3, 10, 0, 0, 0, 3]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.318414004505
wait,"[2, 13, 5, 4, 1, 1, 1, 13]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 9, 3, 4, 1, 1, 1, 7]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.393722217462
angel,"[4, 34, 0, 1, 0, 0, 1, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 26, 0, 1, 0, 0, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.509021982021
reynold,"[10, 28, 0, 0, 1, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 11, 0, 0, 1, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.428750504522
richard,"[6, 14, 3, 13, 1, 2, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[6, 13, 3, 13, 1, 2, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.177008595026
bell,"[19, 21, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[6, 7, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.667548674686
michael,"[13, 15, 1, 10, 0, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[12, 15, 1, 10, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.327513941776
