,word_appear_set,class_word_appear_set,word_doc_set,doc_class_set
labatt,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
amb,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
sayam,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
asea,"[5, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
vast,"[1, 0, 0, 3, 2, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 3, 1, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
non-vot,"[3, 4, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 4, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
poorest,"[0, 0, 0, 4, 1, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 2, 1, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
owens-corn,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
caiss,"[5, 1, 0, 0, 0, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
seal,"[1, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
brkns,"[3, 3, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 3, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
tractor,"[6, 1, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
xiamen,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
novo,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
islam,"[1, 1, 0, 5, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
bv,"[1, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 6, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
label,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 5, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
beauti,"[1, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 5, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
unoc,"[0, 0, 7, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 3, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
cineplex,"[1, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
jamaica,"[0, 0, 2, 0, 0, 5, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 2, 0, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
assert,"[0, 4, 1, 1, 1, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 4, 1, 1, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
pat,"[0, 4, 0, 2, 0, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 2, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
cti,"[1, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
tom,"[1, 2, 0, 1, 0, 2, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 0, 1, 0, 2, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
oxford,"[2, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
seven-year,"[0, 3, 0, 0, 2, 1, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 0, 0, 1, 1, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
globe,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
arden,"[2, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
claremont,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
mobex,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
trademark,"[1, 4, 0, 2, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 4, 0, 2, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
ceas,"[2, 2, 2, 0, 1, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 2, 1, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
ltv,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
saskatchewan,"[0, 2, 3, 2, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 1, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
thoresen,"[1, 0, 0, 0, 0, 0, 0, 6]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 3]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
dubili,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 4, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
nutrit,"[1, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
mdc,"[4, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
enjoy,"[1, 1, 2, 0, 1, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 2, 0, 1, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
fought,"[0, 4, 0, 0, 1, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 4, 0, 0, 1, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
aug,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[7, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
manner,"[0, 4, 0, 2, 1, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 4, 0, 2, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
haft,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
atico,"[2, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
coconut,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 5, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
mideast,"[0, 0, 6, 0, 0, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 5, 0, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
humana,"[2, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
age,"[4, 1, 0, 2, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 1, 0, 2, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
lombard,"[0, 1, 0, 0, 3, 3, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 2, 3, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
coverag,"[5, 1, 0, 0, 0, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[5, 1, 0, 0, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
defus,"[0, 0, 0, 6, 0, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 5, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
capitol,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
modern,"[4, 1, 2, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 1, 2, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
layoff,"[4, 2, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
azzam,"[0, 0, 0, 0, 7, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
jm,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
unsatisfactori,"[5, 0, 0, 0, 2, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[5, 0, 0, 0, 2, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
cell,"[2, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
oxi,"[0, 3, 4, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 4, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
cavendish,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
minn,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 5, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
colombian,"[0, 0, 7, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 4, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
regal,"[1, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
barbara,"[0, 6, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
eager,"[1, 5, 0, 0, 0, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 4, 0, 0, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
refil,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 4, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
clevebaco,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
trelleborg,"[2, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
smoki,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
smithklin,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
cax,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 6, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
aqazadeh,"[0, 0, 7, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 3, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
ksz,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
pain,"[2, 1, 0, 2, 1, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 2, 1, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
markka,"[0, 0, 0, 4, 3, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 1, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
x,"[0, 2, 5, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 4, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
habbel,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
tel,"[3, 4, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
tangibl,"[2, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 5, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
envisag,"[0, 1, 0, 2, 3, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 2, 3, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
toyota,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
cool,"[0, 2, 0, 1, 4, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 1, 4, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
llc,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
rhine,"[3, 0, 0, 0, 0, 0, 0, 4]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
maxim,"[0, 6, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 6, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
goodwil,"[5, 1, 0, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[5, 1, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
rainier,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
gerber,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
regim,"[0, 0, 3, 1, 3, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 2, 1, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
ahm,"[1, 0, 4, 0, 2, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 4, 0, 2, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
national,"[2, 4, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 3, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
blue,"[2, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
farah,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
medar,"[5, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
meinhardt,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
jucker,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
quantum,"[0, 5, 0, 0, 2, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 0, 0, 2, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
schmidt,"[2, 3, 0, 0, 2, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 3, 0, 0, 2, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
inch,"[2, 0, 2, 1, 0, 0, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 1, 1, 0, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
almir,"[0, 0, 1, 0, 0, 0, 0, 6]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 1, 0, 0, 0, 0, 6]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
burdett,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
shall,"[0, 4, 0, 2, 0, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 4, 0, 2, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
helmut,"[2, 0, 0, 1, 2, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 1, 2, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
condens,"[2, 3, 2, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 3, 2, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
emphasis,"[2, 0, 0, 3, 0, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 3, 0, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
await,"[1, 3, 1, 0, 1, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 3, 1, 0, 1, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
byrd,"[0, 0, 0, 7, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 5, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
corazon,"[0, 5, 0, 0, 0, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 5, 0, 0, 0, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
allianc,"[4, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
windfal,"[1, 0, 6, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 6, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
simmon,"[1, 5, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 3, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
harold,"[1, 5, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 5, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
treasur,"[0, 5, 0, 0, 1, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 4, 0, 0, 1, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
bsi,"[3, 4, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
hemdal,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
complianc,"[1, 2, 0, 4, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 0, 4, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
kdd,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 4, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
hampshir,"[2, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
eros,"[4, 0, 0, 1, 1, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 1, 1, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
